population_characteristics,sex,risk_factor,prevalence_of_risk
18–24,Male,Inadequate fruit,60.3
25–34,Male,Inadequate fruit,61.3
35–44,Male,Inadequate fruit,57.3
45–54,Male,Inadequate fruit,59.3
55–64,Male,Inadequate fruit,53.3
65–74,Male,Inadequate fruit,47.9
75–84,Male,Inadequate fruit,42.5
85+,Male,Inadequate fruit,37.8
All,Male,Inadequate fruit,56
18–24,Female,Inadequate fruit,53.1
25–34,Female,Inadequate fruit,48.3
35–44,Female,Inadequate fruit,50.6
45–54,Female,Inadequate fruit,44.4
55–64,Female,Inadequate fruit,40.2
65–74,Female,Inadequate fruit,31.4
75–84,Female,Inadequate fruit,38.6
85+,Female,Inadequate fruit,33.3
All,Female,Inadequate fruit,44.6
18–24,Persons,Inadequate fruit,56.6
25–34,Persons,Inadequate fruit,54.6
35–44,Persons,Inadequate fruit,53.7
45–54,Persons,Inadequate fruit,51.5
55–64,Persons,Inadequate fruit,46.5
65–74,Persons,Inadequate fruit,39.6
75–84,Persons,Inadequate fruit,41.2
85+,Persons,Inadequate fruit,35.3
All,Persons,Inadequate fruit,50.2
18–24,Male,Inadequate vegetables,98
25–34,Male,Inadequate vegetables,97.2
35–44,Male,Inadequate vegetables,97.7
45–54,Male,Inadequate vegetables,98
55–64,Male,Inadequate vegetables,96.1
65–74,Male,Inadequate vegetables,93.5
75–84,Male,Inadequate vegetables,86.2
85+,Male,Inadequate vegetables,92.9
All,Male,Inadequate vegetables,96.2
18–24,Female,Inadequate vegetables,93.1
25–34,Female,Inadequate vegetables,89.4
35–44,Female,Inadequate vegetables,90.7
45–54,Female,Inadequate vegetables,89.2
55–64,Female,Inadequate vegetables,89.1
65–74,Female,Inadequate vegetables,85.7
75–84,Female,Inadequate vegetables,91.1
85+,Female,Inadequate vegetables,91.3
All,Female,Inadequate vegetables,89.8
18–24,Persons,Inadequate vegetables,95.9
25–34,Persons,Inadequate vegetables,93.1
35–44,Persons,Inadequate vegetables,94
45–54,Persons,Inadequate vegetables,93.3
55–64,Persons,Inadequate vegetables,92.5
65–74,Persons,Inadequate vegetables,89
75–84,Persons,Inadequate vegetables,89.1
85+,Persons,Inadequate vegetables,93.4
All,Persons,Inadequate vegetables,92.9
18–24,Male,Alcohol use,18.9
25–34,Male,Alcohol use,24.9
35–44,Male,Alcohol use,28
45–54,Male,Alcohol use,28
55–64,Male,Alcohol use,31.3
65–74,Male,Alcohol use,26.8
75–84,Male,Alcohol use,15.3
