Sex,Year,Risk factor,Attributable deaths,Deaths,Percent total deaths,Attributable deaths ASR
Females,2015,Air pollution,1536.20396,76788,2.000578163,0.090065882
Males,2015,Air pollution,1867.679359,80497,2.320185049,0.150596207
Persons,2015,Air pollution,3403.883318,157285,2.164149994,0.118076444
Females,2018,Air pollution,1425.232802,76391,1.865707742,0.078083141
Males,2018,Air pollution,1810.563745,82909,2.183796385,0.131953262
Persons,2018,Air pollution,3235.796546,159300,2.031259602,0.103148334
Females,2003,Alcohol use,1959.222273,63920,3.065116197,0.162548562
Males,2003,Alcohol use,3074.370875,68074,4.51621893,0.343776132
Persons,2003,Alcohol use,5033.593148,131994,3.813501483,0.249135402
Females,2011,Alcohol use,2133.797343,71410,2.988093185,0.145446577
Males,2011,Alcohol use,3523.308954,75374,4.674435421,0.317745998
Persons,2011,Alcohol use,5657.106298,146784,3.854034702,0.227173217
Females,2015,Alcohol use,2377.667643,76788,3.096405224,0.144475582
Males,2015,Alcohol use,4021.18582,80497,4.995448054,0.324669981
Persons,2015,Alcohol use,6398.853463,157285,4.06831768,0.230117433
Females,2018,Alcohol use,2422.084238,76391,3.170640832,0.135841162
Males,2018,Alcohol use,4090.215043,82909,4.933378817,0.303131215
Persons,2018,Alcohol use,6512.299282,159300,4.088072368,0.215753157
Females,2003,All dietary risks,9081.65222,63920,14.20784139,0.719987781
Males,2003,All dietary risks,10046.92621,68074,14.75883041,1.211910643
Persons,2003,All dietary risks,19128.57843,131994,14.49200602,0.938575194
Females,2011,All dietary risks,8295.576805,71410,11.6168279,0.508038125
Males,2011,All dietary risks,9339.432784,75374,12.39078831,0.867915371
Persons,2011,All dietary risks,17635.00959,146784,12.01425877,0.670839545
Females,2015,All dietary risks,7951.4466,76788,10.35506407,0.435559844
Males,2015,All dietary risks,9307.510917,80497,11.56255627,0.751745205
Persons,2015,All dietary risks,17258.95752,157285,10.97304735,0.5805396
Females,2018,All dietary risks,6913.138766,76391,9.049677012,0.353945585
Males,2018,All dietary risks,8889.240178,82909,10.72168302,0.644735211
Persons,2018,All dietary risks,15802.37894,159300,9.919886343,0.487914093
Females,2003,Amphetamine use,29.99127488,63920,0.046920017,0.003026089
Males,2003,Amphetamine use,144.093155,68074,0.21167135,0.014725251
Persons,2003,Amphetamine use,174.0844299,131994,0.131888139,0.008895293
Females,2011,Amphetamine use,40.85633312,71410,0.057213742,0.003613276
Males,2011,Amphetamine use,152.5029724,75374,0.202328353,0.013953618
Persons,2011,Amphetamine use,193.3593055,146784,0.131730506,0.008796443
Females,2015,Amphetamine use,86.78606704,76788,0.113020351,0.00722972
Males,2015,Amphetamine use,259.6250985,80497,0.32252767,0.022648696
Persons,2015,Amphetamine use,346.4111655,157285,0.220244248,0.014924267
Females,2018,Amphetamine use,113.3088853,76391,0.148327532,0.009048808
Males,2018,Amphetamine use,339.2198794,82909,0.409147233,0.028379335
Persons,2018,Amphetamine use,452.5287647,159300,0.284073299,0.018660625
Females,2003,Bullying victimisation,0,63920,0,0
Males,2003,Bullying victimisation,0,68074,0,0
Persons,2003,Bullying victimisation,0,131994,0,0
Females,2011,Bullying victimisation,0,71410,0,0
Males,2011,Bullying victimisation,0,75374,0,0
Persons,2011,Bullying victimisation,0,146784,0,0
Females,2015,Bullying victimisation,0,76788,0,0
Males,2015,Bullying victimisation,0,80497,0,0
Persons,2015,Bullying victimisation,0,157285,0,0
Females,2018,Bullying victimisation,0,76391,0,0
Males,2018,Bullying victimisation,0,82909,0,0
Persons,2018,Bullying victimisation,0,159300,0,0
Females,2003,Cannabis use,10.55369925,63920,0.016510794,0.001067511
Males,2003,Cannabis use,26.00499264,68074,0.038201064,0.002663216
Persons,2003,Cannabis use,36.55869189,131994,0.027697238,0.00186735
Females,2011,Cannabis use,22.8947468,71410,0.032060981,0.001992658
Males,2011,Cannabis use,55.89413531,75374,0.074155724,0.005118027
Persons,2011,Cannabis use,78.78888211,146784,0.053676751,0.003555771
Females,2015,Cannabis use,30.72166935,76788,0.040008425,0.002521411
Males,2015,Cannabis use,68.33988553,80497,0.084897432,0.005958088
Persons,2015,Cannabis use,99.06155488,157285,0.062982201,0.004233822
Females,2018,Cannabis use,53.78316029,76391,0.0704051,0.004224891
Males,2018,Cannabis use,123.6065844,82909,0.149087052,0.010301686
Persons,2018,Cannabis use,177.3897446,159300,0.111355772,0.007243131
Females,2003,Child abuse & neglect,165.5615779,63920,0.259013733,0.016598175
Males,2003,Child abuse & neglect,402.7386772,68074,0.59161894,0.041145804
Persons,2003,Child abuse & neglect,568.3002551,131994,0.430550067,0.028769893
Females,2011,Child abuse & neglect,205.9726257,71410,0.288436669,0.018182685
Males,2011,Child abuse & neglect,438.8014207,75374,0.582165496,0.039255106
Persons,2011,Child abuse & neglect,644.7740464,146784,0.439267254,0.028645056
Females,2015,Child abuse & neglect,254.0248909,76788,0.330813266,0.021213899
Males,2015,Child abuse & neglect,530.2682875,80497,0.658742919,0.044972215
Persons,2015,Child abuse & neglect,784.2931784,157285,0.498644612,0.032989651
Females,2018,Child abuse & neglect,259.4731378,76391,0.339664539,0.020551651
Males,2018,Child abuse & neglect,553.0611287,82909,0.667070075,0.044772234
Persons,2018,Child abuse & neglect,812.5342665,159300,0.510065453,0.032558286
Females,2003,Cocaine use,28.76976236,63920,0.045009015,0.002913248
Males,2003,Cocaine use,149.8875152,68074,0.220183205,0.015315701
Persons,2003,Cocaine use,178.6572775,131994,0.135352575,0.009107033
Females,2011,Cocaine use,30.05694638,71410,0.042090669,0.002718761
Males,2011,Cocaine use,149.8859472,75374,0.1988563,0.013576865
Persons,2011,Cocaine use,179.9428936,146784,0.122590264,0.008154337
Females,2015,Cocaine use,39.40953225,76788,0.051322514,0.003335663
Males,2015,Cocaine use,187.8813269,80497,0.233401651,0.016199344
Persons,2015,Cocaine use,227.2908591,157285,0.144508923,0.009757713
Females,2018,Cocaine use,38.89757397,76391,0.050919053,0.003161279
Males,2018,Cocaine use,188.6244645,82909,0.227507827,0.015584969
Persons,2018,Cocaine use,227.5220385,159300,0.142826138,0.009357388
Females,2003,Diet high in processed meat,329.1623496,63920,0.514959871,0.026674255
Males,2003,Diet high in processed meat,406.2882446,68074,0.596833218,0.047730069
Persons,2003,Diet high in processed meat,735.4505942,131994,0.557184868,0.036161254
Females,2011,Diet high in processed meat,356.6375018,71410,0.499422352,0.022345426
Males,2011,Diet high in processed meat,426.9393063,75374,0.566427822,0.03936514
Persons,2011,Diet high in processed meat,783.5768081,146784,0.533829851,0.030099707
Females,2015,Diet high in processed meat,329.8947572,76788,0.429617593,0.018549296
Males,2015,Diet high in processed meat,415.138145,80497,0.515718778,0.033455454
Persons,2015,Diet high in processed meat,745.0329021,157285,0.473683379,0.025429401
Females,2018,Diet high in processed meat,322.7117814,76391,0.422447384,0.016882491
Males,2018,Diet high in processed meat,426.7663732,82909,0.514740708,0.031013464
Persons,2018,Diet high in processed meat,749.4781546,159300,0.470482206,0.023448273
Females,2003,Diet high in red meat,1217.172318,63920,1.904212012,0.098827369
Males,2003,Diet high in red meat,1191.948332,68074,1.750959738,0.141725194
Persons,2003,Diet high in red meat,2409.12065,131994,1.825174364,0.118288112
Females,2011,Diet high in red meat,1242.540213,71410,1.740008701,0.078706623
Males,2011,Diet high in red meat,1210.022616,75374,1.605358103,0.111495405
Persons,2011,Diet high in red meat,2452.56283,146784,1.670865237,0.093844367
Females,2015,Diet high in red meat,1186.566669,76788,1.545250129,0.067374464
Males,2015,Diet high in red meat,1189.564904,80497,1.47777545,0.095595446
Persons,2015,Diet high in red meat,2376.131573,157285,1.510717216,0.08058958
Females,2018,Diet high in red meat,1142.400464,76391,1.495464732,0.060731939
Males,2018,Diet high in red meat,1203.303359,82909,1.451354327,0.087366852
Persons,2018,Diet high in red meat,2345.703823,159300,1.472507108,0.073261738
Females,2003,Diet high in sodium,1406.125902,63920,2.199821498,0.110112792
Males,2003,Diet high in sodium,1761.903678,68074,2.58821823,0.213039858
Persons,2003,Diet high in sodium,3168.02958,131994,2.400131506,0.155572793
Females,2011,Diet high in sodium,1320.795656,71410,1.849594813,0.079392248
Males,2011,Diet high in sodium,1649.086793,75374,2.187872201,0.153423382
Persons,2011,Diet high in sodium,2969.882449,146784,2.023301211,0.112676958
Females,2015,Diet high in sodium,1573.171064,76788,2.048719936,0.084102921
Males,2015,Diet high in sodium,1973.909927,80497,2.452153406,0.160039234
Persons,2015,Diet high in sodium,3547.080992,157285,2.255193433,0.118543544
Females,2018,Diet high in sodium,973.5661066,76391,1.274451318,0.049158988
Males,2018,Diet high in sodium,1682.070315,82909,2.028815104,0.121828498
Persons,2018,Diet high in sodium,2655.636421,159300,1.667066178,0.081755036
Females,2003,Diet high in sugar-sweetened beverages,71.51831491,63920,0.111887226,0.005713918
Males,2003,Diet high in sugar-sweetened beverages,151.3625772,68074,0.222350056,0.01777105
Persons,2003,Diet high in sugar-sweetened beverages,222.8808921,131994,0.168856836,0.010961402
Females,2011,Diet high in sugar-sweetened beverages,67.98126488,71410,0.095198522,0.004209447
Males,2011,Diet high in sugar-sweetened beverages,144.235654,75374,0.191359957,0.013255826
Persons,2011,Diet high in sugar-sweetened beverages,212.2169189,146784,0.144577692,0.008217022
Females,2015,Diet high in sugar-sweetened beverages,59.5254302,76788,0.077519183,0.003287749
Males,2015,Diet high in sugar-sweetened beverages,135.0685859,80497,0.167793316,0.010950129
Persons,2015,Diet high in sugar-sweetened beverages,194.5940161,157285,0.123720645,0.006757093
Females,2018,Diet high in sugar-sweetened beverages,56.10078854,76391,0.073439003,0.002902396
Males,2018,Diet high in sugar-sweetened beverages,135.7559047,82909,0.163740854,0.009991292
Persons,2018,Diet high in sugar-sweetened beverages,191.8566932,159300,0.120437347,0.006147361
Females,2003,Diet low in fish & seafood,233.2944128,63920,0.364978743,0.018426767
Males,2003,Diet low in fish & seafood,287.3347465,68074,0.422091763,0.034341886
Persons,2003,Diet low in fish & seafood,520.6291592,131994,0.394433959,0.025585369
Females,2011,Diet low in fish & seafood,170.8105912,71410,0.239197019,0.010283875
Males,2011,Diet low in fish & seafood,213.9278221,75374,0.283821772,0.019952528
Persons,2011,Diet low in fish & seafood,384.7384134,146784,0.262111956,0.014685367
Females,2015,Diet low in fish & seafood,150.9748783,76788,0.196612593,0.008074619
Males,2015,Diet low in fish & seafood,198.471427,80497,0.246557545,0.016130651
Persons,2015,Diet low in fish & seafood,349.4463052,157285,0.222173955,0.01179451
Females,2018,Diet low in fish & seafood,128.9988412,76391,0.168866543,0.006396586
Males,2018,Diet low in fish & seafood,184.0638028,82909,0.222007023,0.013448682
Persons,2018,Diet low in fish & seafood,313.062644,159300,0.196523945,0.009665311
Females,2003,Diet low in fruit,1113.522386,63920,1.742056299,0.089468426
Males,2003,Diet low in fruit,1287.591799,68074,1.891458999,0.152536155
Persons,2003,Diet low in fruit,2401.114185,131994,1.819108585,0.117920699
Females,2011,Diet low in fruit,1044.377217,71410,1.462508357,0.065790487
Males,2011,Diet low in fruit,1260.046292,75374,1.671725386,0.115421374
Persons,2011,Diet low in fruit,2304.42351,146784,1.569941894,0.088492358
Females,2015,Diet low in fruit,981.6841779,76788,1.278434362,0.05551428
Males,2015,Diet low in fruit,1214.020987,80497,1.508156809,0.097216412
Persons,2015,Diet low in fruit,2195.705164,157285,1.396004174,0.07492398
Females,2018,Diet low in fruit,921.432448,76391,1.206205506,0.048796749
Males,2018,Diet low in fruit,1209.923129,82909,1.459338707,0.087511019
Persons,2018,Diet low in fruit,2131.355577,159300,1.33795077,0.06691324
Females,2003,Diet low in legumes,2337.695498,63920,3.657220741,0.183009654
Males,2003,Diet low in legumes,2749.657605,68074,4.039218505,0.332305166
Persons,2003,Diet low in legumes,5087.353103,131994,3.854230573,0.249480632
Females,2011,Diet low in legumes,1974.830818,71410,2.765482171,0.11751583
Males,2011,Diet low in legumes,2404.667655,75374,3.190314505,0.224296191
Persons,2011,Diet low in legumes,4379.498473,146784,2.983634778,0.165815656
Females,2015,Diet low in legumes,1715.63585,76788,2.234249948,0.09095103
Males,2015,Diet low in legumes,2287.016153,80497,2.841119735,0.185436062
Persons,2015,Diet low in legumes,4002.652004,157285,2.54484026,0.134109923
Females,2018,Diet low in legumes,1493.794997,76391,1.955459409,0.073464812
Males,2018,Diet low in legumes,2109.476582,82909,2.544327614,0.153748702
Persons,2018,Diet low in legumes,3603.271579,159300,2.261940727,0.11058658
Females,2003,Diet low in milk,105.6408049,63920,0.165270346,0.00924221
Males,2003,Diet low in milk,124.3832246,68074,0.182717667,0.013883143
Persons,2003,Diet low in milk,230.0240295,131994,0.17426855,0.011352575
Females,2011,Diet low in milk,111.8801868,71410,0.156672997,0.00784932
Males,2011,Diet low in milk,132.4907166,75374,0.175777744,0.011772635
Persons,2011,Diet low in milk,244.3709034,146784,0.166483338,0.009669415
Females,2015,Diet low in milk,121.4824824,76788,0.158205035,0.007784903
Males,2015,Diet low in milk,140.755221,80497,0.174857723,0.011098393
Persons,2015,Diet low in milk,262.2377034,157285,0.166727726,0.009310869
Females,2018,Diet low in milk,119.6399176,76391,0.1566152,0.007073911
Males,2018,Diet low in milk,139.673757,82909,0.168466339,0.01003206
Persons,2018,Diet low in milk,259.3136745,159300,0.162783223,0.008463875
Females,2003,Diet low in nuts & seeds,1554.153542,63920,2.431404164,0.121693769
Males,2003,Diet low in nuts & seeds,1806.681947,68074,2.653997043,0.218875765
Persons,2003,Diet low in nuts & seeds,3360.835489,131994,2.546203228,0.164831296
Females,2011,Diet low in nuts & seeds,1170.853499,71410,1.6396212,0.069600078
Males,2011,Diet low in nuts & seeds,1372.216722,75374,1.82054385,0.128954873
Persons,2011,Diet low in nuts & seeds,2543.070221,146784,1.732525494,0.096261587
Females,2015,Diet low in nuts & seeds,1030.514995,76788,1.342026091,0.054401885
Males,2015,Diet low in nuts & seeds,1272.654765,80497,1.580996516,0.103705723
Persons,2015,Diet low in nuts & seeds,2303.16976,157285,1.464328932,0.076924188
Females,2018,Diet low in nuts & seeds,891.3542028,76391,1.166831437,0.043588471
Males,2018,Diet low in nuts & seeds,1199.775251,82909,1.447098929,0.087575768
Persons,2018,Diet low in nuts & seeds,2091.129453,159300,1.312698966,0.06379647
Females,2003,Diet low in polyunsaturated fats,194.6844473,63920,0.304575168,0.015214089
