Risk factor,Linked disease,Year,Sex,Attributable deaths,Deaths,Percent deaths
Air pollution,COPD,2015,Females,236.2147161,3401.821715,6.94377119
Air pollution,COPD,2015,Males,265.8215534,3853.065363,6.898962991
Air pollution,COPD,2015,Persons,502.0362696,7254.887078,6.919973587
Air pollution,COPD,2018,Females,227.9810524,3397.364968,6.710525791
Air pollution,COPD,2018,Males,258.0138113,3870.878808,6.665509929
Air pollution,COPD,2018,Persons,485.9948637,7268.243776,6.686551506
Air pollution,Coronary heart disease,2015,Females,589.0017815,10471.06768,5.625040343
Air pollution,Coronary heart disease,2015,Males,932.1916685,12543.39533,7.431733149
Air pollution,Coronary heart disease,2015,Persons,1521.19345,23014.46301,6.609728193
Air pollution,Coronary heart disease,2018,Females,500.8006682,9080.293224,5.515247756
Air pollution,Coronary heart disease,2018,Males,862.9140215,11955.12173,7.217944248
Air pollution,Coronary heart disease,2018,Persons,1363.71469,21035.41496,6.482946462
Air pollution,Lower respiratory infections,2015,Females,114.9846403,1962.784429,5.858240905
Air pollution,Lower respiratory infections,2015,Males,86.9816389,1493.3075,5.824764081
Air pollution,Lower respiratory infections,2015,Persons,201.9662792,3456.09193,5.843776246
Air pollution,Lower respiratory infections,2018,Females,112.6652659,1971.951141,5.713390335
Air pollution,Lower respiratory infections,2018,Males,93.76741879,1651.404773,5.67803971
Air pollution,Lower respiratory infections,2018,Persons,206.4326847,3623.355915,5.697278699
Air pollution,Lung cancer,2015,Females,124.0340211,3595.638499,3.449568723
Air pollution,Lung cancer,2015,Males,177.8306097,5164.795534,3.443129713
Air pollution,Lung cancer,2015,Persons,301.8646307,8760.434033,3.445772545
Air pollution,Lung cancer,2018,Females,128.6550579,3779.2495,3.404248858
Air pollution,Lung cancer,2018,Males,177.0434255,5210.84775,3.397593521
Air pollution,Lung cancer,2018,Persons,305.6984835,8990.09725,3.400391286
Air pollution,Stroke,2015,Females,379.999164,6749.719088,5.62985154
Air pollution,Stroke,2015,Males,298.9566381,4495.699846,6.649835362
Air pollution,Stroke,2015,Persons,678.9558021,11245.41893,6.03762124
Air pollution,Stroke,2018,Females,354.1711309,6227.740505,5.686992428
Air pollution,Stroke,2018,Males,293.2803966,4406.13939,6.656176091
Air pollution,Stroke,2018,Persons,647.4515276,10633.8799,6.088572882
Air pollution,Type 2 diabetes mellitus,2015,Females,91.96963682,1361.342068,6.755806565
Air pollution,Type 2 diabetes mellitus,2015,Males,105.8972499,1571.690841,6.737791376
Air pollution,Type 2 diabetes mellitus,2015,Persons,197.8668868,2933.032909,6.746152971
Air pollution,Type 2 diabetes mellitus,2018,Females,100.9596261,1510.401507,6.684290608
Air pollution,Type 2 diabetes mellitus,2018,Males,125.5446709,1883.435859,6.665725847
Air pollution,Type 2 diabetes mellitus,2018,Persons,226.5042969,3393.837366,6.673987952
Alcohol use,Alcohol use disorders,2003,Females,51.12452222,51.12452222,100
Alcohol use,Alcohol use disorders,2003,Males,214.2932552,214.2932552,100
Alcohol use,Alcohol use disorders,2003,Persons,265.4177775,265.4177775,100
Alcohol use,Alcohol use disorders,2011,Females,73.56286231,73.56286231,100
