Risk factor,Linked disease,Age group,Year,Sex,Attributable deaths
Air pollution,COPD,15–24,2015,Females,0
Air pollution,COPD,15–24,2015,Males,0.070582928
Air pollution,COPD,15–24,2015,Persons,0.070582928
Air pollution,COPD,15–24,2018,Females,0
Air pollution,COPD,15–24,2018,Males,0
Air pollution,COPD,15–24,2018,Persons,0
Air pollution,COPD,25–34,2015,Females,0.001346361
Air pollution,COPD,25–34,2015,Males,0.156374191
Air pollution,COPD,25–34,2015,Persons,0.157720553
Air pollution,COPD,25–34,2018,Females,0.212574022
Air pollution,COPD,25–34,2018,Males,0.240726036
Air pollution,COPD,25–34,2018,Persons,0.453300057
Air pollution,COPD,35–44,2015,Females,0.493099529
Air pollution,COPD,35–44,2015,Males,0.796705716
Air pollution,COPD,35–44,2015,Persons,1.289805245
Air pollution,COPD,35–44,2018,Females,0.205750925
Air pollution,COPD,35–44,2018,Males,0.518832251
Air pollution,COPD,35–44,2018,Persons,0.724583176
Air pollution,COPD,45–54,2015,Females,3.968741884
Air pollution,COPD,45–54,2015,Males,5.088063525
Air pollution,COPD,45–54,2015,Persons,9.056805409
Air pollution,COPD,45–54,2018,Females,3.240569482
Air pollution,COPD,45–54,2018,Males,4.488302615
Air pollution,COPD,45–54,2018,Persons,7.728872096
Air pollution,COPD,55–64,2015,Females,14.79280242
Air pollution,COPD,55–64,2015,Males,18.02810547
Air pollution,COPD,55–64,2015,Persons,32.82090788
Air pollution,COPD,55–64,2018,Females,17.08074392
Air pollution,COPD,55–64,2018,Males,20.60468737
Air pollution,COPD,55–64,2018,Persons,37.6854313
Air pollution,COPD,65–84,2015,Females,121.9521785
Air pollution,COPD,65–84,2015,Males,148.9975936
Air pollution,COPD,65–84,2015,Persons,270.9497722
Air pollution,COPD,65–84,2018,Females,121.085415
Air pollution,COPD,65–84,2018,Males,145.0896729
Air pollution,COPD,65–84,2018,Persons,266.1750879
Air pollution,COPD,85+,2015,Females,95.00654744
Air pollution,COPD,85+,2015,Males,92.58068897
Air pollution,COPD,85+,2015,Persons,187.5872364
Air pollution,COPD,85+,2018,Females,86.08769833
Air pollution,COPD,85+,2018,Males,87.01792682
Air pollution,COPD,85+,2018,Persons,173.1056251
Air pollution,COPD,Under 15,2015,Females,0
Air pollution,COPD,Under 15,2015,Males,0.10343897
Air pollution,COPD,Under 15,2015,Persons,0.10343897
Air pollution,COPD,Under 15,2018,Females,0.068300698
Air pollution,COPD,Under 15,2018,Males,0.053663293
Air pollution,COPD,Under 15,2018,Persons,0.12196399
Air pollution,Coronary heart disease,25–34,2015,Females,0.746851009
Air pollution,Coronary heart disease,25–34,2015,Males,4.620889788
Air pollution,Coronary heart disease,25–34,2015,Persons,5.367740796
Air pollution,Coronary heart disease,25–34,2018,Females,0.701701104
Air pollution,Coronary heart disease,25–34,2018,Males,3.048173301
Air pollution,Coronary heart disease,25–34,2018,Persons,3.749874404
Air pollution,Coronary heart disease,35–44,2015,Females,8.247418918
Air pollution,Coronary heart disease,35–44,2015,Males,36.98690822
Air pollution,Coronary heart disease,35–44,2015,Persons,45.23432714
Air pollution,Coronary heart disease,35–44,2018,Females,7.192921153
Air pollution,Coronary heart disease,35–44,2018,Males,28.65134549
Air pollution,Coronary heart disease,35–44,2018,Persons,35.84426665
Air pollution,Coronary heart disease,45–54,2015,Females,20.19255004
Air pollution,Coronary heart disease,45–54,2015,Males,97.47762734
Air pollution,Coronary heart disease,45–54,2015,Persons,117.6701774
